ISO3,Month,Month_Name,Score_Oportunidad,Avg_Score_Disponibilidad,Avg_Saturation_Index,IOI
ALB,1,Enero,7.5,3.99,0.898,29.92
ALB,2,Febrero,0.0,5.41,0.685,0.0
ALB,3,Marzo,7.5,4.37,0.84,32.77
ALB,4,Abril,0.0,4.13,0.876,0.0
ALB,5,Mayo,2.5,3.96,0.901,9.91
ALB,6,Junio,2.5,3.22,1.013,8.05
ALB,7,Julio,1.25,1.34,1.297,1.68
ALB,8,Agosto,0.0,0.0,1.502,0.0
ALB,9,Septiembre,5.0,2.21,1.164,11.07
ALB,10,Octubre,1.25,3.41,0.982,4.27
ALB,11,Noviembre,8.75,4.33,0.844,37.9
ALB,12,Diciembre,10.0,3.32,0.999,33.19
ARE,1,Enero,2.0,0.58,1.066,1.17
ARE,2,Febrero,2.0,1.76,0.932,3.53
ARE,3,Marzo,0.0,0.86,1.035,0.0
ARE,4,Abril,2.0,0.99,1.02,1.98
ARE,5,Mayo,2.0,1.54,0.958,3.08
ARE,6,Junio,4.0,2.11,0.893,8.45
ARE,7,Julio,8.0,0.78,1.045,6.24
ARE,8,Agosto,8.0,0.0,1.132,0.0
ARE,9,Septiembre,10.0,1.05,1.013,10.5
ARE,10,Octubre,10.0,1.47,0.966,14.73
ARE,11,Noviembre,8.0,2.06,0.899,16.46
ARE,12,Diciembre,10.0,0.8,1.041,8.0
ARG,1,Enero,2.31,0.0,1.147,0.0
ARG,2,Febrero,6.15,0.95,1.038,5.85
ARG,3,Marzo,7.69,0.76,1.059,5.85
ARG,4,Abril,10.0,1.74,0.947,17.4
ARG,5,Mayo,4.62,1.83,0.937,8.45
ARG,6,Junio,5.38,2.4,0.871,12.92
ARM,1,Enero,10.0,4.49,0.797,44.93
ARM,2,Febrero,0.0,5.61,0.635,0.0
ARM,3,Marzo,1.25,4.87,0.743,6.09
ARM,4,Abril,1.25,4.16,0.846,5.2
ARM,5,Mayo,3.75,3.54,0.936,13.29
ARM,6,Junio,0.0,2.57,1.079,0.0
ARM,7,Julio,1.67,0.81,1.333,1.35
ARM,8,Agosto,0.42,0.0,1.451,0.0
ARM,9,Septiembre,1.67,1.9,1.172,3.17
ARM,10,Octubre,0.0,2.55,1.079,0.0
ARM,11,Noviembre,0.0,3.79,0.9,0.0
ARM,12,Diciembre,1.25,3.24,0.978,4.06
AUS,1,Enero,5.26,0.44,1.036,2.3
AUS,2,Febrero,0.0,1.75,0.894,0.0
AUS,3,Marzo,7.37,0.92,0.984,6.75
AUS,4,Abril,10.0,0.94,0.982,9.4
AUS,5,Mayo,0.0,1.48,0.923,0.0
AUS,6,Junio,0.0,1.37,0.935,0.0
AUS,7,Julio,0.0,0.19,1.063,0.0
AUS,8,Agosto,0.0,0.73,1.005,0.0
AUS,9,Septiembre,0.0,0.59,1.019,0.0
AUS,10,Octubre,0.0,0.16,1.066,0.0
AUS,11,Noviembre,0.0,0.68,1.01,0.0
AUS,12,Diciembre,3.68,0.02,1.082,0.06
AUT,1,Enero,6.67,3.38,0.802,22.51
AUT,2,Febrero,0.0,3.43,0.795,0.0
AUT,3,Marzo,1.11,2.1,0.957,2.33
AUT,4,Abril,10.0,2.11,0.955,21.11
AUT,5,Mayo,8.89,1.36,1.046,12.13
AUT,6,Junio,4.44,0.87,1.106,3.86
AUT,7,Julio,0.0,0.08,1.202,0.0
AUT,8,Agosto,3.33,0.13,1.196,0.43
AUT,9,Septiembre,0.0,0.41,1.161,0.0
AUT,10,Octubre,3.33,1.38,1.044,4.6
AUT,11,Noviembre,3.33,2.93,0.856,9.77
AUT,12,Diciembre,8.89,2.75,0.878,24.44
BEL,1,Enero,1.88,4.35,0.725,8.15
BEL,2,Febrero,0.0,4.26,0.736,0.0
BEL,3,Marzo,2.5,3.24,0.866,8.11
BEL,4,Abril,10.0,2.29,0.987,22.93
BEL,5,Mayo,5.0,1.51,1.089,7.53
BEL,6,Junio,2.5,1.41,1.102,3.52
BEL,7,Julio,1.25,0.01,1.281,0.02
BEL,8,Agosto,1.88,0.23,1.253,0.43
BEL,9,Septiembre,0.0,0.82,1.177,0.0
BEL,10,Octubre,0.0,1.56,1.082,0.0
BEL,11,Noviembre,4.38,3.14,0.88,13.73
BEL,12,Diciembre,3.12,3.58,0.823,11.2
BGR,1,Enero,2.35,7.75,0.5,18.24
BGR,2,Febrero,0.0,7.93,0.46,0.0
BGR,3,Marzo,2.35,7.63,0.526,17.95
BGR,4,Abril,10.0,7.42,0.573,74.16
BGR,5,Mayo,8.82,6.31,0.819,55.72
BGR,6,Junio,0.0,2.89,1.586,0.0
BGR,7,Julio,0.0,0.12,2.205,0.0
BGR,8,Agosto,0.0,0.08,2.215,0.0
BGR,9,Septiembre,4.12,3.6,1.426,14.81
BGR,10,Octubre,0.0,7.02,0.66,0.0
BGR,11,Noviembre,0.0,7.77,0.494,0.0
BGR,12,Diciembre,5.29,7.58,0.537,40.15
BHR,1,Enero,2.73,1.04,1.062,2.83
BHR,2,Febrero,1.82,2.34,0.907,4.26
BHR,3,Marzo,0.0,1.5,1.008,0.0
BHR,4,Abril,0.0,1.3,1.03,0.0
BHR,5,Mayo,1.82,1.71,0.983,3.1
BHR,6,Junio,1.82,2.48,0.894,4.51
BHR,7,Julio,1.82,1.23,1.038,2.24
BHR,8,Agosto,3.64,0.0,1.186,0.0
BHR,9,Septiembre,6.36,1.11,1.054,7.06
BHR,10,Octubre,7.27,2.31,0.913,16.8
BHR,11,Noviembre,2.73,2.42,0.898,6.6
BHR,12,Diciembre,10.0,1.34,1.027,13.45
BIH,1,Enero,7.78,5.89,0.631,45.84
BIH,2,Febrero,0.0,6.15,0.593,0.0
BIH,3,Marzo,4.44,4.98,0.772,22.13
BIH,4,Abril,0.0,3.68,0.972,0.0
BIH,5,Mayo,10.0,2.63,1.132,26.28
BIH,6,Junio,0.0,2.28,1.184,0.0
BIH,7,Julio,0.0,0.51,1.465,0.0
BIH,8,Agosto,0.0,0.7,1.432,0.0
BIH,9,Septiembre,0.0,2.07,1.22,0.0
BIH,10,Octubre,0.0,2.88,1.095,0.0
BIH,11,Noviembre,4.44,4.74,0.808,21.09
BIH,12,Diciembre,0.0,5.46,0.697,0.0
BLR,1,Enero,10.0,5.94,0.643,59.45
BLR,2,Febrero,0.0,6.68,0.526,0.0
BLR,3,Marzo,8.57,5.76,0.67,49.37
BLR,4,Abril,5.71,4.89,0.802,27.94
BLR,5,Mayo,8.57,4.32,0.901,36.99
BLR,6,Junio,0.0,0.93,1.433,0.0
BLR,7,Julio,2.86,0.59,1.497,1.69
BLR,8,Agosto,0.0,0.26,1.468,0.0
BLR,9,Septiembre,0.0,1.94,1.212,0.0
BLR,10,Octubre,0.0,3.5,0.974,0.0
BLR,11,Noviembre,5.71,4.52,0.816,25.8
BLR,12,Diciembre,2.86,4.46,0.824,12.76
BRA,1,Enero,3.33,0.4,1.25,1.33
BRA,2,Febrero,0.0,2.69,0.894,0.0
BRA,3,Marzo,3.33,2.2,0.955,7.32
BRA,4,Abril,10.0,2.27,0.942,22.66
BRA,5,Mayo,2.22,2.19,0.953,4.86
BRA,6,Junio,0.0,2.39,0.929,0.0
BRA,7,Julio,0.0,1.03,1.096,0.0
BRA,8,Agosto,0.0,1.72,1.011,0.0
BRA,9,Septiembre,3.33,1.87,0.993,6.24
BRA,10,Octubre,3.33,1.6,1.026,5.35
BRA,11,Noviembre,6.67,1.9,0.989,12.66
BRA,12,Diciembre,2.22,1.85,0.961,4.11
BRB,1,Enero,4.5,0.13,1.311,0.6
BRB,2,Febrero,0.0,1.09,1.184,0.0
BRB,3,Marzo,2.0,0.99,1.197,1.98
BRB,4,Abril,10.0,2.8,0.956,28.03
BRB,5,Mayo,5.0,3.9,0.81,19.48
BRB,6,Junio,2.0,4.17,0.775,8.33
BRB,7,Julio,0.0,2.76,0.962,0.0
BRB,8,Agosto,6.5,2.69,0.97,17.51
BRB,9,Septiembre,0.0,4.87,0.681,0.0
BRB,10,Octubre,0.0,4.37,0.748,0.0
BRB,11,Noviembre,1.5,1.8,1.089,2.7
BRB,12,Diciembre,3.5,0.09,1.316,0.33
