ISO3,Year,Promedio_Pasajeros_Internacionales,Promedio_Pasajeros_Nacionales
ALB,2010,,
ALB,2011,,
ALB,2012,,
ALB,2013,,
ALB,2014,,
ALB,2015,,
ALB,2016,,
ALB,2017,,
ARE,2014,,
ARE,2015,,
ARE,2016,,
ARE,2017,,
ARG,2017,,
ARM,2011,,
ARM,2012,,
ARM,2013,,
ARM,2014,,
ARM,2015,,
ARM,2016,,
ARM,2017,,
AUS,2010,2232.5833333333335,4412.833333333333
AUS,2011,2346.1666666666665,4453.833333333333
AUS,2012,2467.5,4637.666666666667
AUS,2013,2611.9166666666665,4728.833333333333
AUS,2014,2761.1666666666665,4747.166666666667
AUS,2015,2905.5833333333335,4759.583333333333
AUS,2016,3134.8333333333335,4883.0
AUS,2017,3301.25,4962.5
AUS,2018,3464.6666666666665,5049.833333333333
AUT,2010,1897.52825,63.50966666666667
AUT,2011,2039.4963333333333,55.30466666666667
AUT,2012,2110.94175,52.88966666666667
AUT,2013,2094.0365833333335,51.77375
AUT,2014,2149.9734166666667,48.249583333333334
AUT,2015,2185.3664166666667,44.134166666666665
AUT,2016,2222.57775,42.54816666666667
AUT,2017,2316.310916666667,44.29566666666667
AUT,2018,2546.103333333333,48.76475
BEL,2010,1886.1913333333332,5.289000000000001
BEL,2011,2087.6299999999997,4.26125
BEL,2012,2156.11225,3.8473333333333333
BEL,2013,2195.5726666666665,3.5879166666666666
BEL,2014,2394.67175,3.3497500000000002
BEL,2015,2577.5722499999997,2.331166666666667
BEL,2016,2508.6749999999997,0.9776666666666666
BEL,2017,2770.8869166666664,0.8208333333333333
BEL,2018,2874.79275,0.73175
BGR,2010,498.7840833333333,15.326166666666667
BGR,2011,537.21975,17.114166666666666
BGR,2012,551.14325,17.115333333333332
BGR,2013,574.6566666666666,15.284333333333334
BGR,2014,612.69925,14.025500000000001
BGR,2015,620.635,13.610750000000001
BGR,2016,763.3643333333333,13.65375
BGR,2017,901.0176666666666,23.36991666666667
BGR,2018,985.1918333333333,26.284333333333333
BHR,2014,,
BHR,2015,,
BHR,2016,,
BHR,2017,,
BIH,2010,,
BIH,2011,,
BIH,2012,,
BIH,2013,,
BIH,2014,,
BIH,2015,,
BIH,2016,,
BIH,2017,,
BLR,2010,,
BLR,2011,,
BLR,2017,,
BRA,2010,,
BRA,2011,,
BRA,2012,,
BRA,2013,,
BRA,2014,,
BRA,2015,,
BRA,2016,,
BRA,2017,,
BRB,2015,,
BRB,2016,,
BRB,2017,,
CAN,2010,,
CAN,2011,,
CAN,2012,,
CAN,2013,,
CAN,2014,,
CAN,2015,,
CAN,2016,,
CAN,2017,,
CAN,2018,,
CHE,2010,3078.0340833333335,56.62916666666666
CHE,2011,3397.2064166666664,56.11425
CHE,2012,3550.2630000000004,52.744166666666665
CHE,2013,3634.7715000000003,50.02583333333333
CHE,2014,3793.1235,50.82866666666666
CHE,2015,3947.0747499999998,55.12316666666666
CHE,2016,4147.096083333333,61.694916666666664
CHE,2017,4402.83325,60.912
CHE,2018,4618.300833333334,59.99491666666666
CHL,2010,,
CHL,2011,,
CHL,2012,,
CHL,2013,,
CHL,2014,,
CHN,2010,1606.75,20385.5
CHN,2011,1765.0,22032.5
CHN,2012,1946.6666666666667,23971.666666666668
CHN,2013,2212.5,26531.666666666668
CHN,2014,2629.1666666666665,29195.833333333332
CHN,2015,3504.1666666666665,31950.25
CHN,2016,4302.0,35525.416666666664
CHN,2017,4618.75,40485.25
CHN,2018,5302.666666666667,44716.416666666664
CHN,2019,6318.833333333333,49082.416666666664
COL,2010,,
COL,2011,,
COL,2012,,
COL,2013,,
COL,2014,,
COL,2015,,
COL,2016,,
CRI,2016,,
CRI,2017,,
CYM,2015,,
CYM,2016,,
CYP,2010,578.9665,0.09513636363636363
CYP,2011,599.1798333333334,0.04633333333333334
CYP,2012,610.6869166666667,0.006302631578947369
CYP,2013,584.2864166666667,0.002789473684210526
CYP,2014,610.71175,0.0046353722143195825
CYP,2015,632.5655833333333,0.0039054054054054057
CYP,2016,746.8180833333332,0.0029324324324324328
CYP,2017,853.2423333333332,0.0024263513513513514
CYP,2018,910.5916666666667,0.0014666666666666667
CZE,2010,1003.07375,17.125083333333333
CZE,2011,1044.0459166666667,10.165083333333333
CZE,2012,970.9825833333333,7.54675
CZE,2013,984.0705833333333,6.91375
CZE,2014,999.2504166666668,7.405666666666666
CZE,2015,1047.0206666666666,8.979666666666667
CZE,2016,1132.477,6.886500000000001
CZE,2017,1348.1706666666666,5.6255
CZE,2018,1481.368333333333,5.150083333333334
DEU,2010,11830.530666666666,2013.7054166666667
DEU,2011,12574.80775,2034.86525
DEU,2012,12924.145166666667,1958.44675
DEU,2013,13180.389666666668,1884.8760000000002
DEU,2014,13638.054833333334,1899.0963333333332
DEU,2015,14231.626333333334,1929.7428333333335
DEU,2016,14742.695749999999,1981.2453333333333
DEU,2017,15713.035416666666,1986.0765000000001
DEU,2018,16566.368416666668,1968.8283333333336
DNK,2010,1827.5005,200.40383333333332
DNK,2011,1953.2430000000002,197.48149999999998
DNK,2012,2050.6783333333333,160.42708333333334
DNK,2013,2130.2675833333333,158.0415
DNK,2014,2254.3233333333333,163.66083333333333
DNK,2015,2347.08775,160.871
DNK,2016,2562.6270833333333,167.63475
DNK,2017,2609.206,162.56183333333334
DNK,2018,2729.5445833333333,162.217
DOM,2010,,
DOM,2011,,
DOM,2012,,
DOM,2013,,
DOM,2014,,
DOM,2015,,
DOM,2016,,
ECU,2010,,
ECU,2011,,
ECU,2012,,
EGY,2014,,
EGY,2015,,
EGY,2016,,
EGY,2017,,
ESP,2010,9596.650666666666,3185.6005
ESP,2011,10598.892166666667,3163.877
ESP,2012,10546.517,2767.75475
ESP,2013,10761.040916666667,2383.2901666666667
ESP,2014,11345.653083333333,2433.87875
