ISO3,Year,Categoria,PIB,PIB per capital,System
AUS,2010,Mixto,1148838233480.7195,52144.6654705468,Australia
AUS,2011,Mixto,1398610616772.9673,62605.600458306,Australia
AUS,2012,Mixto,1547532281116.3977,68072.8732340801,Australia
AUS,2013,Mixto,1577123329410.8835,68190.7010035651,Australia
AUS,2014,Mixto,1468265356427.763,62544.0873773726,Australia
AUS,2015,Mixto,1351296372254.314,56739.0265346593,Australia
AUS,2016,Mixto,1206836962281.8408,49888.0410842736,Australia
AUS,2017,Mixto,1325582658156.5354,53901.7145392154,Australia
AUS,2018,Mixto,1427809041019.4402,57196.4220783778,Australia
AUT,2010,Mixto,389827789217.6341,46611.1393420232,Austria
AUT,2011,Mixto,428954737064.05725,51116.8953522042,Austria
AUT,2012,Mixto,406750487603.5899,48250.4059142637,Austria
AUT,2013,Mixto,426580502769.4165,50305.3545774973,Austria
AUT,2014,Mixto,438556021078.0341,51314.9722616322,Austria
AUT,2015,Mixto,379546097300.6326,43915.228020857,Austria
AUT,2016,Mixto,393687359770.2733,45061.4993920192,Austria
AUT,2017,Mixto,414926138132.6913,47163.7425775142,Austria
AUT,2018,Mixto,452582294972.7754,51194.0749841299,Austria
BEL,2010,Mixto,481556503720.0009,44197.393671162,Belgium
BEL,2011,Mixto,527196649048.6392,47760.8298776546,Belgium
BEL,2012,Mixto,498414364944.96106,44874.1709182123,Belgium
BEL,2013,Mixto,524097026598.5505,46964.5946777056,Belgium
BEL,2014,Mixto,537987419164.3511,47995.7786961339,Belgium
BEL,2015,Mixto,461044767544.531,40893.804537772,Belgium
BEL,2016,Mixto,474271566739.7288,41854.5498296444,Belgium
BEL,2017,Mixto,500908767351.5303,44035.3239358548,Belgium
BEL,2018,Mixto,542638913427.9212,47487.2100392561,Belgium
BGR,2010,Mixto,50689051382.43607,6853.94805511171,Bulgaria
BGR,2011,Mixto,57681293006.97212,7849.58061302818,Bulgaria
BGR,2012,Mixto,54297052002.23383,7431.95789508871,Bulgaria
BGR,2013,Mixto,55819262374.903885,7795.98092108928,Bulgaria
BGR,2014,Mixto,57080897012.10772,8069.60005667684,Bulgaria
BGR,2015,Mixto,50765918159.14758,7268.65445473873,Bulgaria
BGR,2016,Mixto,53929397039.21061,7822.49923292968,Bulgaria
BGR,2017,Mixto,59167647387.60604,8696.68930427924,Bulgaria
BGR,2018,Mixto,66251582035.941154,9872.38507789106,Bulgaria
CHE,2010,Mixto,598851027947.7208,76531.3728182297,Switzerland
CHE,2011,Mixto,715888126682.3959,90476.7589651577,Switzerland
CHE,2012,Mixto,686420221557.9899,85836.2076767359,Switzerland
CHE,2013,Mixto,706234937370.9675,87304.3305813557,Switzerland
CHE,2014,Mixto,726537809429.5236,88724.9910735609,Switzerland
CHE,2015,Mixto,694118186379.6278,83806.4476003837,Switzerland
